sample_id	sample_name	alias	development_phase	mechanistic_class	mechanisms_cellular	target_class	gene_symbol_1	gene_symbol_2	gene_symbol_3	gene_symbol_4	gene_symbol_5	moa1	moa2	moa3	moa4	moa5	binary_pharmacology	general_indication	cas	target_subcat	class	primary_mechanism	additional_mechanisms	mechanisms_cellular_apoptosis	mechanisms_cellular_angiogenesis	mechanisms_cellular_signal_transduction
NCGC00021301-04	Fluocinolone acetonide	NSC-92339	Approved	Cell signaling	NA	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	67-73-2	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00022398-06	Fluocinonide	NSC-101791	Approved	Cell signaling	NA	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	356-12-7	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00022735-07	Methylprednisolone	NA	Approved	Cell signaling	NA	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	83-43-2	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00022848-06	Hydrocortisone	NSC-10483	Approved	Cell signaling	NA	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	50-23-7	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00023193-04	Triamcinolone acetonide	NA	Approved	Cell signaling	NA	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	76-25-5	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00023373-04	Clobetasol	NA	Approved	Cell signaling	Antiinflammatory Drugs	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	25122-46-7	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00090766-08	Prednisone	NA	Approved	Cell signaling	NA	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	53-03-2	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00091019-08	Dexamethasone	NA	Approved	Cell signaling	Antiinflammatory Drugs	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	50-02-2	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00159360-02	Betamethasone dipropionate	DFD-01	Approved	Cell signaling	NA	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	5593-20-4	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00164594-01	Loteprednol	NA	Approved	Cell signaling	NA	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	82034-46-6	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00179308-05	Fluticasone	NA	Approved	Cell signaling	NA	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	80474-14-2	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00179578-04	Mometasone furoate	NA	Approved	Cell signaling	Antiinflammatory Drugs	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	83919-23-7	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00179649-07	Prednisolone	NA	Approved	Cell signaling	NA	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	50-24-8	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00182851-01	Meprednisone	NA	Approved	Cell signaling	NA	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	1247-42-3	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00263521-02	Deflazacort	NA	Approved	Cell signaling	NA	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	14484-47-0	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00274065-01	Desonide	D-2083	Approved	Cell signaling	Antiinflammatory Drugs	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	638-94-8	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00242505-01	Deacetyl cortivazol	NA	Preclinical	Cell signaling	NA	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	4906-84-7	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00264052-01	Hyodeoxycholic acid	NA	Preclinical	Cell signaling	NA	Nuclear receptor	NR3C1	NA	NA	NA	NA	Glucocorticoid Receptor Agonist	NA	NA	NA	NA	Agonist	Oncology	83-49-8	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00159559-01	Eplerenone	NA	Approved	Cell signaling	Signal Transduction Modulators	Nuclear receptor	NR3C2	NA	NA	NA	NA	Mineralocorticoid Receptor Antagonist	NA	NA	NA	NA	Antagonist	Cardiovascular Disorders	107724-20-9	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00164590-03	Drospirenone	NA	Clinical	Cell signaling	Signal Transduction Modulators	Nuclear receptor	NR3C2	PGR	NA	NA	NA	Mineralocorticoid Receptor Antagonist	Progesterone Receptor Agonist	NA	NA	NA	Antagonist	Cardiovascular Disorders	67392-87-4	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00081778-04	SID-7969543	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Nuclear receptor	NR5A1	NA	NA	NA	NA	Steroidogenic factor 1 Antagonist	NA	NA	NA	NA	Antagonist	Cardiovascular Disorders	868224-64-0	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00181336-03	2-Fluoroadenosine	NA	Preclinical	Metabolism	NA	Nucleotide metabolism	NT5C2	NA	NA	NA	NA	Cytosolic Purine 5'-Nucleotidase Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	21679-14-1	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00018218-03	Edaravone	NA	Approved	Metabolism	Antioxidants|Free Radical Scavengers|	Nucleotide metabolism	NT5E	NA	NA	NA	NA	5'-Nucleotidase Inhibitor	NA	NA	NA	NA	Inhibitor	Neurological Disorders	89-25-8	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00250381-02	AZ-23	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	NTRK3	TEK	YES1	NA	NA	Neurotrophic Tyrosine Kinase Receptors (NTRK) Inhibitor	Angiopoietin-1 Receptor Inhibitor	Tyrosine-protein kinase Yes Inhibitor	NA	NA	Inhibitor	Oncology	915720-21-7	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346936-01	GNF-5837	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	NTRK3	NA	NA	NA	NA	Neurotrophic Tyrosine Kinase Receptors (NTRK) Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	1033769-28-6	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00015316-06	Eflornithine	DFMO	Approved	Metabolism	NA	Polyamine metabolism	ODC1	NA	NA	NA	NA	Ornithine Decarboxylase Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	68278-23-9	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00015049-18	Apigenin	NA	Preclinical	Metabolism	Angiogenesis Inhibitors|Apoptosis Inducers|Signal Transduction Modulators|	Polyamine metabolism	ODC1	ODC1	NA	NA	MAOA	Ornithine Decarboxylase Inhibitor	Ornithine Decarboxylase Inhibitor	NMDA Receptor Antagonists	Drugs Targeting on Quorum Sensing Signaling	Amine oxidase [flavin-containing] A Inhibitor	Inhibitor	Oncology	520-36-5	NA	NA	NA	NA	TRUE	TRUE	TRUE
NCGC00346641-01	ADL-5859	PF-04856880	Phase II	Cell signaling	Signal Transduction Modulators	GPCR signaling	OPRD1	NA	NA	NA	NA	Delta-type Opioid Receptor Agonist	NA	NA	NA	NA	Agonist	Neurological Disorders	850305-06-5	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00163683-02	Metenkephalin	NSC-374896	Preclinical	Cell signaling	Signal Transduction Modulators	GPCR signaling	OPRD1	OPRM1	NA	NA	NA	Delta-type Opioid Receptor Agonist	Mu-Type Opioid receptor Agonist	NA	NA	NA	Agonist	Neurological Disorders	58569-55-4	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00161418-02	JTC-801	NA	Discontinued	Cell signaling	Signal Transduction Modulators	GPCR signaling	OPRL1	NA	NA	NA	NA	Nociceptin Receptor Antagonist	NA	NA	NA	NA	Antagonist	Analgesic Drug	244218-51-7	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346896-01	MCOPPB	NA	Preclinical	Cell signaling	Signal Transduction Modulators	GPCR signaling	OPRL1	NA	NA	NA	NA	Nociceptin Receptor Agonist	NA	NA	NA	NA	Agonist	Analgesic Drug	1108147-88-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00024427-03	Naltrexone	NA	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	OPRM1	OPRK1	NA	NA	NA	Mu-Type Opioid Receptor Antagonist	Kappa-type Opioid Receptor Ligand	NA	NA	NA	Antagonist	Analgesic Drug	16676-29-2	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00161641-04	Sinomenine	NA	Phase II	Cell signaling	NA	GPCR signaling	OPRM1	NA	NA	NA	NA	Mu-Type Opioid Receptor Agonist	NA	NA	NA	NA	Agonist	Analgesic Drug	115-53-7	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00347903-01	Ro-51	NA	Preclinical	Cell signaling	Signal Transduction Modulators	GPCR signaling	P2RX3	P2RX2	NA	NA	NA	P2X Purinoceptor 3 Antagonist	P2X2/3 Receptor Antagonist	NA	NA	NA	Antagonist	Analgesic Drug	1050670-85-3	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00015225-03	Chelerythrine	NSC-646662	Preclinical	Cell signaling	Apoptosis Inducers|Signal Transduction Modulators|	GPCR signaling	P2RX7	NA	BCHE	BCL2L1	ACHE	P2X Purinoceptor 7 Antagonist	Rho GTPase Inhibitor	Butyrylcholinesterase Inhibitor	Bcl-2-like protein 1 (Bcl-xL) Inhibitor	Acetylcholinesterase Inhibitor	Antagonist	Analgesic Drug	3895-92-9	NA	NA	NA	NA	TRUE	FALSE	TRUE
NCGC00346721-01	GW-791343	NA	Preclinical	Cell signaling	NA	GPCR signaling	P2RX7	NA	NA	NA	NA	P2X Purinoceptor 7 Antagonist	NA	NA	NA	NA	Antagonist	Analgesic Drug	1019779-04-4	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00347904-01	AZ-11645373	NA	Preclinical	Cell signaling	Signal Transduction Modulators	GPCR signaling	P2RX7	NA	NA	NA	NA	P2X Purinoceptor 7 Antagonist	NA	NA	NA	NA	Antagonist	Analgesic Drug	227088-94-0	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00347905-01	AZ-10606120	NA	Preclinical	Cell signaling	Signal Transduction Modulators	GPCR signaling	P2RX7	NA	NA	NA	NA	P2X Purinoceptor 7 Antagonist	NA	NA	NA	NA	Antagonist	Analgesic Drug	607378-18-7	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00347909-01	A-839977	NA	Preclinical	Cell signaling	Signal Transduction Modulators	GPCR signaling	P2RX7	IL1B	NA	NA	NA	P2X Purinoceptor 7 Antagonist	Interleukin-1 beta Release Inhibitor	NA	NA	NA	Antagonist	Analgesic Drug	870061-27-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00016872-09	Ticlopidine	NA	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	P2RY12	NA	NA	NA	NA	P2Y Purinoceptor 12 Antagonist	NA	NA	NA	NA	Antagonist	Cardiovascular Disorders	53885-35-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00163329-04	Clopidogrel	NA	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	P2RY12	NA	NA	NA	NA	P2Y Purinoceptor 12 Antagonist	NA	NA	NA	NA	Antagonist	Cardiovascular Disorders	120202-66-6	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00188690-02	Prasugrel	LY-640315	Approved	Cell signaling	Signal Transduction Modulators	GPCR signaling	P2RY12	NA	NA	NA	NA	P2Y Purinoceptor 12 Antagonist	NA	NA	NA	NA	Antagonist	Cardiovascular Disorders	150322-43-3	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00343773-01	YW3-56	NA	Preclinical	Cell homeostasis	NA	Protease	PADI4	NA	NA	NA	NA	Protein-Arginine Deiminase Type-4  Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	1374311-17-7	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00186047-02	IPA-3	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	PAK1	NA	NA	NA	NA	Serine/threonine-protein kinase PAK 1 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	42521-82-4	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00345784-01	PF-3758309	NA	Discontinued	Cell signaling	Signal Transduction Modulators	Kinase	PAK4	NA	NA	NA	NA	Serine/threonine-protein kinase PAK 4 inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	898044-15-0	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00093354-09	Niacinamide	NA	Approved	Transcription regulation	NA	DNA damage	PARP1	NA	NA	NA	NA	Poly [ADP-ribose] polymerase 1 Binder	NA	NA	NA	NA	Inhibitor	Oncology	98-92-0	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00238451-01	Olaparib	AZD-2281	Approved	Transcription regulation	Signal Transduction Modulators	DNA damage	PARP1	CYP3A4	PARP2	ABCB1	PARP3	Poly [ADP-ribose] polymerase 1 inhibitor	Cytochrome P450 family 3 subfamily A member 4 Inhibitor	Poly [ADP-ribose] polymerase 2 inhibitor	Multidrug resistance protein 1 Inhibitor	Poly [ADP-ribose] polymerase 3 Inhibitor	Inhibitor	Oncology	763113-22-0	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346435-01	Niraparib	MK-4827	Approved	Transcription regulation	Signal Transduction Modulators	DNA damage	PARP1	PARP2	NA	NA	NA	Poly [ADP-ribose] polymerase 1 inhibitor	Poly [ADP-ribose] polymerase 2 inhibitor	NA	NA	NA	Inhibitor	Oncology	1038915-60-4	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00263096-01	Iniparib	BSI-201	Discontinued	Transcription regulation	Signal Transduction Modulators	DNA damage	PARP1	NA	NA	NA	NA	Poly [ADP-ribose] polymerase 1 inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	160003-66-7	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00015034-02	INO-1001	NA	Phase II	Transcription regulation	Free Radical Scavengers|Signal Transduction Modulators|	DNA damage	PARP1	NA	NA	NA	NA	Poly [ADP-ribose] polymerase Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	3544-24-9	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00263173-03	Rucaparib	PF-01367338	Phase II	Transcription regulation	DNA Repair Inhibitors|Signal Transduction Modulators|	DNA damage	PARP1	PARP2	PARP3	NA	NA	Poly [ADP-ribose] polymerase 1 inhibitor	Poly [ADP-ribose] polymerase 2 inhibitor	Poly [ADP-ribose] polymerase 3 Inhibitor	NA	NA	Inhibitor	Oncology	459868-92-9	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00250404-01	Veliparib	ABT-888	Phase III	Transcription regulation	Signal Transduction Modulators	DNA damage	PARP1	PARP2	NA	NA	NA	Poly [ADP-ribose] polymerase 1 inhibitor	Poly [ADP-ribose] polymerase 2 inhibitor	NA	NA	NA	Inhibitor	Oncology	912445-05-7	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00168108-02	AG-14361	TBI-361	Preclinical	Transcription regulation	DNA Repair Inhibitors|Signal Transduction Modulators|	DNA damage	PARP1	NA	NA	NA	NA	Poly [ADP-ribose] polymerase 1 inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	328543-09-5	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00016246-12	Chlorhexidine	AY-5312	Approved	Anti-microbial	NA	Anti-bacterial	pbpA	NA	NA	NA	NA	Anti-bacterial	Bacterial N-Acetyltransferase Eis (Mycobacterium tuberculosis) Inhibitor	NA	NA	NA	Inhibitor	Infectious Disease	55-56-1	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00016797-04	Amoxicillin	NA	Approved	Anti-microbial	NA	Anti-bacterial	pbpA	NA	NA	NA	NA	Anti-bacterial	Bacterial Penicillin Binding Protein Inhibitor	NA	NA	NA	Inhibitor	Infectious Disease	34642-77-8	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00263130-01	cPEPCK Inhibitor	NA	Preclinical	Metabolism	NA	Glucose metabolism	PCK1	NA	NA	NA	NA	Phosphoenolpyruvate Carboxykinase, cytosolic [GTP] Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	628279-07-2	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00346888-01	UK-383367	NA	Clinical	Cell homeostasis	NA	Protease	PCOLCE	NA	NA	NA	NA	Procollagen C-Endopeptidase Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	348622-88-8	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00346630-01	MP-10	PF-2545920	Discontinued	Cell signaling	Signal Transduction Modulators	Secondary messanger	PDE10A	NA	NA	NA	NA	Phosphodiesterase 10A Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	898562-94-2	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00263226-01	BAY-60-7550	NA	Preclinical	Cell signaling	NA	Secondary messanger	PDE2A	NA	NA	NA	NA	Phosphodiesterase 2A Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	439083-90-6	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00015207-11	Cilostazol	NA	Approved	Cell signaling	Signal Transduction Modulators	Secondary messanger	PDE3A	NA	NA	NA	NA	Phosphodiesterase 3A Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	73963-72-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00161408-02	Anagrelide	NA	Approved	Cell signaling	Signal Transduction Modulators	Secondary messanger	PDE3A	NA	NA	NA	NA	Phosphodiesterase 3A Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	58579-51-4	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346449-01	Parogrelil	NT-702	Discontinued	Cell signaling	Signal Transduction Modulators	Secondary messanger	PDE3A	PDE3A	PDE5A	NA	NA	Phosphodiesterase 3A Inhibitor	Phosphodiesterase PDE3 Inhibitor	Phosphodiesterase 5A Inhibitor	NA	NA	Inhibitor	Metabolic Disorders	139145-27-0	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00015898-12	Rolipram	NA	Phase II	Cell signaling	Signal Transduction Modulators	Secondary messanger	PDE4A	NA	NA	NA	NA	Phosphodiesterase 4 Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	61413-54-5	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346620-01	GSK-256066	NA	Phase II	Cell signaling	Signal Transduction Modulators	Secondary messanger	PDE4A	NA	NA	NA	NA	Phosphodiesterase 4 Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	801312-28-7	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00168459-04	NCGC00168459-01	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Secondary messanger	PDE4A	NA	NA	NA	NA	Phosphodiesterase 4 Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	1172617-47-8	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00018099-10	Dyphylline	NA	Approved	Cell signaling	Signal Transduction Modulators	Secondary messanger	PDE4B	NA	NA	NA	NA	Phosphodiesterase 4B Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	479-18-5	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346566-01	Roflumilast	NA	Approved	Cell signaling	Signal Transduction Modulators	Secondary messanger	PDE4D	NA	NA	NA	NA	Phosphodiesterase 4D Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	162401-32-3	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00095099-04	Sildenafil	NCX-911	Approved	Cell signaling	Signal Transduction Modulators	Secondary messanger	PDE5A	NA	CACNA2D1	PDE5A	NA	Phosphodiesterase 5A Inhibitor	AMP-Activated Protein kinase (AMPK) Activator	Voltage-dependent calcium channel subunit alpha-2/delta-1 Ligand	Phosphodiesterase 5A Inhibitor	NA	Inhibitor	Metabolic Disorders	171599-83-0	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00024379-04	Emetine	NSC-33669	Withdrawn	Cell signaling	Angiogenesis Inhibitors|Signal Transduction Modulators|	Kinase	PDGF	NA	NA	NA	NA	Platelet-derived growth factor Inhibitor	NA	NA	NA	NA	Inhibitor	Metabolic Disorders	483-18-1	NA	NA	NA	NA	FALSE	TRUE	TRUE
NCGC00241097-01	Tandutinib	MLN-518	Discontinued	Cell signaling	Angiogenesis Inhibitors|Antimitotic Drugs|Signal Transduction Modulators|	Kinase	PDGFRA	PDGFRB	KIT	FLT3	NA	Platelet-derived growth factor receptor alpha Inhibitor	Platelet-derived growth factor receptor beta Inhibitor	Mast/stem cell Growth Factor Receptor Kit Inhibitor	Receptor-type tyrosine-protein kinase FLT3 Inhibitor	NA	Inhibitor	Oncology	387867-13-2	NA	NA	NA	NA	FALSE	TRUE	TRUE
NCGC00346619-01	PP-121	NA	Preclinical	Cell signaling	NA	Kinase	PDGFRA	NA	NA	NA	NA	Platelet-derived growth factor receptor Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	1092788-83-4	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00346718-01	CP-673451	NA	Preclinical	Cell signaling	Angiogenesis Inhibitors|Signal Transduction Modulators|	Kinase	PDGFRB	NA	NA	NA	NA	Platelet-derived growth factor receptor beta Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	343787-29-1	NA	NA	NA	NA	FALSE	TRUE	TRUE
NCGC00344764-01	Devimistat	CPI-613	Phase II	Metabolism	NA	Mitochondria modulator	PDK1	NA	NA	NA	NA	Pyruvate dehydrogenase (PDH) Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	95809-78-2	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00250391-01	AZD-7545	NA	Discontinued	Cell signaling	Signal Transduction Modulators	Kinase	PDK2	NA	NA	NA	NA	Pyruvate dehydrogenase (PDH) Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	252017-04-2	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00263231-01	PDHK RIKEN	NA	Preclinical	Cell signaling	NA	Kinase	PDK2	NA	NA	NA	NA	Pyruvate dehydrogenase (PDH) Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	394237-61-7	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00346490-01	OSU-03012	NA	Phase I	Cell signaling	Apoptosis Inducers|Signal Transduction Modulators|	Kinase	PDPK1	HSP90AB1	NA	PDPK1	NA	3-Phosphoinositide Dependent Kinase 1 Inhibitor	Heat Shock Protein 90 (Hsp90) Inhibitor	Fungal Serine/Threonine-protein kinase PKH2	3-Phosphoinositide Dependent Kinase 1 Inhibitor	Heat Shock Protein 70 (Hsp70) Inhibitor	Inhibitor	Oncology	742112-33-0	NA	NA	NA	NA	TRUE	FALSE	TRUE
NCGC00346547-01	PHT-427	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	PDPK1	AKT1	NA	NA	NA	3-Phosphoinositide Dependent Kinase 1 Inhibitor	AKT serine/threonine kinase Inhibitor	NA	NA	NA	Inhibitor	Oncology	1191951-57-1	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346687-01	BX-912	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	PDPK1	AKT2	NA	NA	NA	3-Phosphoinositide Dependent Kinase 1 Inhibitor	AKT serine/threonine kinase 2 Inhibitor	NA	NA	NA	Inhibitor	Oncology	702674-56-4	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346836-01	GSK-2334470	NA	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	PDPK1	NA	NA	NA	NA	3-Phosphoinositide Dependent Kinase 1 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	1227911-45-6	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00346947-01	PDPK1 Inhibitor	MP-7	Preclinical	Cell signaling	Signal Transduction Modulators	Kinase	PDPK1	NA	NA	NA	NA	3-Phosphoinositide Dependent Kinase 1 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	1001409-50-2	NA	NA	NA	NA	FALSE	FALSE	TRUE
NCGC00263233-01	IPFK2	NA	Preclinical	Metabolism	NA	Glucose metabolism	PFKFB2	NA	NA	NA	NA	6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2 Inhibitor	NA	NA	NA	NA	Inhibitor	Oncology	1332307-32-0	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00167490-02	Lumefantrine	CPG-56695	Approved	Anti-microbial	NA	Anti-malarial	pfmdr1	NA	NA	NA	NA	Anti-malarial	NA	NA	NA	NA	Inhibitor	Infectious Disease	82186-77-4	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00246187-02	Pyronaridine	NA	Approved	Anti-microbial	NA	Anti-malarial	pfmdr1	NA	NA	NA	NA	Anti-malarial	NA	NA	NA	NA	Inhibitor	Infectious Disease	74847-35-1	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00344515-02	Piperaquine	RP-13228	Approved	Anti-microbial	NA	Anti-malarial	pfmdr1	NA	NA	NA	NA	Anti-malarial	NA	NA	NA	NA	Inhibitor	Infectious Disease	915967-82-7	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00015785-04	Progesterone	NA	Approved	Transcription regulation	NA	Transcription factor	PGR	NA	NA	NA	NA	Progesterone Receptor Agonist	NA	NA	NA	NA	Agonist	Metabolic Disorders	57-83-0	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00022037-06	Medroxyprogesterone acetate	NSC-26386	Approved	Transcription regulation	NA	Transcription factor	PGR	NA	NA	NA	NA	Progesterone Receptor Agonist	NA	NA	NA	NA	Agonist	Metabolic Disorders	71-58-9	NA	NA	NA	NA	FALSE	FALSE	FALSE
NCGC00024196-06	Megestrol	NA	Approved	Transcription regulation	Signal Transduction Modulators	Transcription factor	PGR	NA	NA	NA	NA	Progesterone Receptor Agonist	NA	NA	NA	NA	Agonist	Metabolic Disorders	595-33-5	NA	NA	NA	NA	FALSE	FALSE	TRUE
